Title,Author,Description,Theme,Genre
EVEN COWGIRLS GET THE BLUES,TOM ROBBINS,"Starring Sissy Hanshaw--flawlessly beautiful, almost. A small-town girl with big-time dreams and a quirk to match--hitchhiking her way into your heart, your hopes, and your sleeping bags... Featuring Bonanza Jellybean and the smooth-riding cowgirls of Rubber Rose Ranch. Chink, lascivious guru of yams and yang. Julian, Mohawk by birth; asthmatic esthete and husband by disposition. Dr. Robbins, preventive psychiatrist and reality instructor... Follow Sissy's amazing odyssey from Virginia to chic Manhattan to the Dakota Badlands, where FBI agents, cowgirls, and ecstatic whooping cranes explode in a deliciously drawn-out climax... From the Trade Paperback edition.",Relationships and Family Dynamics,Romance & Relationships
Wild Mind: Living the Writer's Life,Natalie Goldberg,"A collection of essays on life as a writer urges aspirants to the craft to take chances, learn self-acceptance, and make a daily commitment to writing.",American Literature & Classic Prose,Literary Classics
Into the Forest,JEAN HEGLAND,"NOW A MAJOR MOTION PICTURE • Set in the near-future, Into the Forest is a powerfully imagined novel that focuses on the relationship between two teenage sisters living alone in their Northern California forest home. Over 30 miles from the nearest town, and several miles away from their nearest neighbor, Nell and Eva struggle to survive as society begins to decay and collapse around them. No single event precedes society's fall. There is talk of a war overseas and upheaval in Congress, but it still comes as a shock when the electricity runs out and gas is nowhere to be found. The sisters consume the resources left in the house, waiting for the power to return. Their arrival into adulthood, however, forces them to reexamine their place in the world and their relationship to the land and each other. Reminiscent of Margaret Atwood's A Handmaid's Tale, Into the Forest is a mesmerizing and thought-provoking novel of hope and despair set in a frighteningly plausible near-future America. Praise for Into the Forest “[A] beautifully written and often profoundly moving novel.”—San Francisco Chronicle “A work of extraordinary power, insight and lyricism, Into the Forest is both an urgent warning and a passionate celebration of life and love.”—Riane Eisler, author of The Chalice and the Blade “From the first page, the sense of crisis and the lucid, honest voice of the . . . narrator pull the reader in. . . . A truly admirable addition to a genre defined by the very high standards of George Orwell's 1984.”—Publishers Weekly (starred review) “Beautifully written.”—Kirkus Reviews “This beautifully written story captures the essential nature of the sister bond: the fierce struggle to be true to one’s own self, only to learn that true strength comes from what they are able to share together.”—Carol Saline, co-author of Sisters “Jean Hegland’s sense of character is firm, warm, and wise. . . . [A] fine first novel.”—John Keeble, author of Yellowfish",American Literature & Classic Prose,Literary Classics
How Stella Got Her Groove Back,Terry McMillan,"How Stella Got Her Groove Back, is full of Terry McMillan's signature humor, heart, and insight. More than a love story, it is ultimately a novel about how a woman saves her own life--and what she must risk to do it. ,Stella Payne is forty-two, divorced, a high-powered investment analyst, mother of eleven-year-old Quincy- and she does it all. In fact, if she doesn't do it, it doesn't get done, from Little League carpool duty to analyzing portfolios to folding the laundry and bringing home the bacon. She does it all well, too, if her chic house, personal trainer, BMW, and her loving son are any indication. So what if there's been no one to share her bed with lately, let alone rock her world? Stella doesn't mind it too much; she probably wouldn't have the energy for love--and all of love's nasty fallout--anyway.,But when Stella takes a spur-of-the-moment vacation to Jamaica, her world gets rocked to the core--not just by the relaxing effects of the sun and sea and an island full of attractive men, but by one man in particular. He's tall, lean, soft-spoken, Jamaican, smells of citrus and the ocean--and is half her age. The tropics have cast their spell and Stella soon realizes she has come to a cataclysmic juncture: not only must she confront her hopes and fears about love, she must question all of her expectations, passions, and ideas about life and the way she has lived it.",Relationships and Family Dynamics,Romance & Relationships
She's Come Undone (Oprah's Book Club),Wally Lamb,"In this extraordinary coming-of-age odyssey, Wally Lamb invites us to hitch a wild ride on a journey of love, pain, and renewal with the most heartbreakingly comical heroine to come along in years. Meet Dolores Price. She's 13, wise-mouthed but wounded, having bid her childhood goodbye. Stranded in front of her bedroom TV, she spends the next few years nourishing herself with the Mallomars, potato chips, and Pepsi her anxious mother supplies. When she finally orbits into young womanhood at 257 pounds, Dolores is no stronger and life is no kinder. But this time she's determined to rise to the occasion and give herself one more chance before she really goes under.",Relationships and Family Dynamics,Romance & Relationships
Color Purple,Alice Walker,"Based on the novel: ""The Color Purple"" by Alice Walker.",Arthurian Legends and Magic,Fantasy Literature
High Maintenance,Jennifer Belle,"Along the way she picks up a maniacally ardent architect who likes to bite her, a lovesick androgynous mentor, strange and exasperating clients, and a gun, and brings them along on her search for the one thing she's really after - a home.""--BOOK JACKET.",American Literature & Classic Prose,Literary Classics
The Cat in the Hat,Dr. Seuss,"The classic picture book that introduced the world to the iconic, mischievous Cat in the Hat and the beloved characters Thing One and Thing Two! Dr. Seuss makes reading fun for kids of all ages. “I know some new tricks,” said the Cat in the Hat. “A lot of good tricks. I will show them to you. Your mother will not mind at all if I do.” A rainy day turns into a wild romp when the Cat in the Hat and his troublemaking friends, Thing One and Thing Two, unexpectedly appear! A favorite among kids, parents, and teachers, this story uses simple words and basic rhyme to encourage and delight beginning readers. Beginner Books are fun, funny, and easy to read! Launched by Dr. Seuss in 1957 with the publication of The Cat in the Hat, this beloved early reader series motivates children to read on their own by using simple words with illustrations that give clues to their meaning. Featuring a combination of kid appeal, supportive vocabulary, and bright, cheerful art, Beginner Books will encourage a love of reading in children ages 3–7.",Cozy Mysteries,Action & Psychological Thrillers
The Cat in the Hat Comes Back (I Can Read It All by Myself Beginner Books),Dr. Seuss,"The riotously funny follow-up to The Cat in the Hat! The Cat is back—along with some surpise friends—in this beloved Beginner Book by Dr. Seuss. Dick and Sally have no time to play. It's winter and they have mountains of snow to shovel. So when the Cat comes to visit, he decides to go inside and to take a bath. No problem, right? Wrong! The pink ring he leaves in the tub creates is a very BIG pink problem when he transfers the stubborn stain from the bath onto Mother's white dress, Dad's shoes, the floors, the walls, and ultimately, over the entire yard full of snow! Will the kids EVER clean up the mess? You bet they will, with some help from the Cat and his helpers: 26 miniature cats (AKA Little Cats A-Z) who live inside the Cat's hat! This classic Dr. Seuss story is the perfect choice for beginning readers and read-alouds, especially on snow days! Beginner Books are fun, funny, and easy to read! Launched by Dr. Seuss in 1957 with the publication of The Cat in the Hat, this beloved early reader series motivates children to read on their own by using simple words with illustrations that give clues to their meaning. Featuring a combination of kid appeal, supportive vocabulary, and bright, cheerful art, Beginner Books will encourage a love of reading in children ages 3–7.",Cozy Mysteries,Action & Psychological Thrillers
Are You My Mother?,Philip D. Eastman,"The must-have, heartwarming and hilarious classic about a baby bird in search of his mother! A baby bird goes in search of his mother in this hilarious Beginner Book edited by Dr. Seuss. When a mother bird's egg starts to jump, she hurries off to make sure she has something for her little one to eat. But as soon as she's gone, out pops the baby bird. He immediately sets off to find his mother, but not knowing what she looks like makes it a challenge. The little hatchling is determined to find his mother, even after meeting a kitten, a hen, a dog, and a Snort. The timeless message of the bond between mother and child make P. D. Eastman's Are You My Mother? a treasured classic. Beginner Books are fun, funny, and easy to read! Launched by Dr. Seuss in 1957 with the publication of The Cat in the Hat, this beloved early reader series motivates children to read on their own by using simple words with illustrations that give clues to their meaning. Featuring a combination of kid appeal, supportive vocabulary, and bright, cheerful art, Beginner Books will encourage a love of reading in children ages 3–7.",Cozy Mysteries,Action & Psychological Thrillers
Hop on Pop (I Can Read It All by Myself Beginner Books),Dr. Seuss,A collection of children's books on the subject of fathers.,American Literature & Classic Prose,Literary Classics
Prince and the Pauper Walt Disney,Disney,Retellings of classic tales featuring Mickey Mouse and his friends in the main roles.,Arthurian Legends and Magic,Fantasy Literature
Jungle Book,Walt Disney,The Walt Disney version of the story of Mowgli who was raised by wolves deep in the jungles of India.,Cozy Mysteries,Action & Psychological Thrillers
The Red Tent (Bestselling Backlist),Anita Diamant,"Her name is Dinah. In the Bible, her life is only hinted at in a brief and violent detour within the more familiar chapters of the Book of Genesis that are about her father, Jacob, and his dozen sons. Told in Dinah's voice, this novel reveals the traditions and turmoils of ancient womanhood--the world of the red tent. It begins with the story of her mothers--Leah, Rachel, Zilpah, and Bilhah--the four wives of Jacob. They love Dinah and give her gifts that sustain her through a hard-working youth, a calling to midwifery, and a new home in a foreign land. Dinah's story reaches out from a remarkable period of early history and creates an intimate connection with the past. Deeply affecting, The Red Tent combines rich storytelling with a valuable achievement in modern fiction: a new view of biblical women's society.",Gothic Vampire Fiction,Fantasy Literature
A Walk to Remember,Nicholas Sparks,"A high school rebel and a minister's daughter find strength in each other in this star-crossed tale of ""young but everlasting love"" (Chicago Sun-Times). There was a time when the world was sweeter....when the women in Beaufort, North Carolina, wore dresses, and the men donned hats.... Every April, when the wind smells of both the sea and lilacs, Landon Carter remembers 1958, his last year at Beaufort High. Landon had dated a girl or two, and even once sworn that he'd been in love. Certainly the last person he thought he'd fall for was Jamie, the shy, almost ethereal daughter of the town's Baptist minister....Jamie, who was destined to show him the depths of the human heart-and the joy and pain of living. The inspiration for this novel came from Nicholas Sparks's sister: her life and her courage. From the internationally bestselling author Nicholas Sparks, comes his most moving story yet....",Relationships and Family Dynamics,Romance & Relationships
Bridget Jones : The Edge of Reason,Helen Fielding,"More broad satire of the London singles scene. When her affair with Mark Darcy takes a bad turn, Bridget begins a disastrous renovation of her flat and ends up in prison during her vacation in Thailand.",Relationships and Family Dynamics,Romance & Relationships
Heat and Dust,Ruth Prawer Jhabvala,"Winner of the Booker Prize as best novel of the year in 1983, Heat and Dust was also made into a major motion picture starring Julie Christie, now regarded by many as a classic.",Epic Fantasy,Fantasy Literature
The Bonesetter's Daughter,Amy Tan,"“The Bonesetter’s Daughter dramatically chronicles the tortured, devoted relationship between LuLing Young and her daughter Ruth. . . . A strong novel, filled with idiosyncratic, sympathetic characters, haunting images, historical complexity, significant contemporary themes, and suspenseful mystery.” –Los Angeles Times “TAN AT HER BEST . . . Rich and hauntingly forlorn . . . The writing is so exacting and unique in its detail.” –San Francisco Chronicle “For Tan, the true keeper of memory is language, and so the novel is layered with stories that have been written down–by mothers for their daughters, passing along secrets that cannot be said out loud but must not be forgotten.” –The New York Times Book Review “AMY TAN [HAS] DONE IT AGAIN. . . . The Bonesetter’s Daughter tells a compelling tale of family relationships; it layers and stirs themes of secrets, ambiguous meanings, cultural complexity and self-identity; and it resonates with metaphor and symbol.” –The Denver Post",Relationships and Family Dynamics,Romance & Relationships
"People of the Silence (The First North Americans series, Book 8)",Kathleen O'Neal Gear,"In A.D. 1150, the Great Sun Chief of the Anasazi people learns that his wife has given birth to the child of another man, and now that daughter, Cornsilk, with the help of a young man named Poor Singer, must flee the wrath of the Great Sun Chief.",Space Adventure,Science Fiction
Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,Retells classic stories and fairy tales that relate to today's society.,Arthurian Legends and Magic,Fantasy Literature
When the Storm Breaks,Heather Lowell,"A serial killer has one obsession . . . Claire Lambert walked into a nightmare on a rainy night in Washington, D.C. Stumbling upon a killer in the midst of his latest bloody crime, she ran for her life -- but not before a head injury caused her to lose her memory, along with her purse and ID. Now a monster knows who Claire is . . . and where she lives. Waking up in a hospital room the day after being attacked -- her mind stripped of all memory of what happened to her -- Claire can only listen with horror to the scenario Detective Sean Richter unfolds before her. A law officer fiercely dedicated to ending the wave of brutal killings that has struck the city, Sean knows that this brave and beautiful woman holds the key to stopping the murderer before he can strike again. Claire is the only victim who has seen the killer's face and lived -- which is why Sean needs her help and will risk everything to protect her . . . And why a depraved, relentless animal is determined that Claire Lambert must die.",Psychological Thriller,Action & Psychological Thrillers
One for the Money (Stephanie Plum Novels (Paperback)),Janet Evanovich,"One for the Money is the first novel by Janet Evanovich featuring the bounty hunter Stephanie Plum. It was published in 1994 in the United States and in 1995 in Great Britain.  Like its successors, Two for the Dough and Three to Get Deadly, One for the Money is a long-time best-seller, appearing for 75 consecutive weeks on the USA Today list of 150 best-selling novels, peaking at number 13.
Before this novel, Evanovich wrote 11 category romance novels.  She then ""ran out of sexual positions and decided to move into the mystery genre.""  Before writing One for the Money, her first mystery novel, Evanovich spent two years investigating the world of law enforcement, shadowing both bail enforcement agents and the Trenton police, observing their actions and the equipment they carried. She also learned how to shoot a gun.
One for the Money was named a New York Times Notable Book, a Publishers Weekly ""Best Book of 1994,"" and a USA Today ""Best Bet."" For this book, Evanovich also won the 1995 Dilys Award, one of only three authors to do so for their first mystery (the others being Julia Spencer-Fleming and Louise Penny).
This novel introduced characters that would frequent the subsequent novels. As of 2020, there have been 27 published novels, four novellas, and one short story in the Stephanie Plum series.",Holiday Classics,Holiday Stories
The Whale Rider,Witi Ihimaera,"Eight-year-old Kahu, a member of the Maori tribe of New Zealand, fights to prove her love, her leadership, and her destiny when hundreds of whales beach themselves and threaten the future of the Maori tribe. Basis for the 2003 feature film.",Galactic Adventures,Science Fiction
Me Talk Pretty One Day,David Sedaris,"A recent transplant to Paris, humorist David Sedaris, bestselling author of ""Naked"", presents a collection of his strongest work yet, including the title story about his hilarious attempt to learn French. A number one national bestseller now in paperback.",Humor and Satire,Humor & Satire
The Murder Book,Jonathan Kellerman,"When Los Angeles psychologist and sleuth Alex Delaware becomes embroiled in a long-unsolved case of brutal murder, he finds his own life and that of his longtime friend, homicide detective Milo Sturgis, at stake.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
The Picture of Dorian Gray (Modern Library (Paperback)),OSCAR WILDE,"Introduction by Jeffrey Eugenides • Nominated as one of America’s best-loved novels by PBS’s The Great American Read Written in his distinctively dazzling manner, Oscar Wilde’s story of a fashionable young man who sells his soul for eternal youth and beauty is the author’s most popular work. The tale of Dorian Gray’s moral disintegration caused a scandal when it ﬁrst appeared in 1890, but though Wilde was attacked for the novel’s corrupting inﬂuence, he responded that there is, in fact, “a terrible moral in Dorian Gray.” Just a few years later, the book and the aesthetic/moral dilemma it presented became issues in the trials occasioned by Wilde’s homosexual liaisons, which resulted in his imprisonment. Of Dorian Gray’s relationship to autobiography, Wilde noted in a letter, “Basil Hallward is what I think I am: Lord Henry what the world thinks me: Dorian what I would like to be—in other ages, perhaps.”",American Literature & Classic Prose,Literary Classics
The Return of the Indian (Indian in the Cupboard),Lynne Reid Banks,"The Magic Continues . . . In The Indian In The Cupboard, Omri discovers a wonderful, magical world when a three inch high Indian named Little Bear came to life. Now, in The Return Of The Indian, Omri tries to see his friend Little Bear again, and lands in the middle of a whole new series of astonishing and dangerous adventures -- from which he may never escape!",Arthurian Legends and Magic,Fantasy Literature
The Family Tree,Sheri S. Tepper,"THE ONCE FERTILE EARTH OF DORA HENRY'S CHILDHOOD HAS BEEN UNDERVALUED AND OVERDEVELOPED. NOW NATURE, APPARENTLY, HAS DECIDED TO FIGHT BACK. Police officer Dora Henry is investigating the bizarre murders of three geneticists. Meanwhile, strange things are happening everywhere she turns. Weeds are becoming trees; trees are becoming forests. Overnight, a city is being transformed into a wild and verdant place. And, strangest of all, Dora can somehow communicate with the rampaging flora. A potential civilization-ending catastrophe is in the making. The bearer Dora gets to a murderer--and to the truth--the more seemingly disparate events begin to entwine. And the answers she seeks today to the salvation of humankind may lie in afar distant future. . .one which is suddenly much closer than anyone imagines. An exhilarating and enchanting novel that deftly combines fantastic invention with insight and a social conscience, from one of the most lyrical and important voices in contemporary speculative fiction. THE ONCE FERTILE EARTH OF DORA HENRYS CHILDHOOD HAS BEEN UNDERVALUED AND OVERDEVELOPED. NOW NATURE, APPARENTLY, HAS DECIDED TO FIGHT BACK. Police officer Dora Henry is investigating the bizarre murders of three geneticists. Meanwhile, strange things are happening everywhere she turns. Weeds are becoming trees; trees are becoming forests. Overnight, a city is being transformed into a wild and verdant place. And, strangest of all, Dora can somehow communicate with the rampaging flora. A potential civilization-ending catastrophe is in the making. The bearer Dora gets to a murderer--and to the truth--the more seemingly disparate events begin to entwine. And the answers she seeks today to the salvation of humankind may lie in afar distant future. . .one which is suddenly much closer than anyone imagines. An exhilarating and enchanting novel that deftly combines fantastic invention with insight and a social conscience, from one of the most lyrical and important voices in contemporary speculative fiction.",American Literature & Classic Prose,Literary Classics
The Rainmaker,John Grisham,"#1 NEW YORK TIMES BEST SELLER • Grisham returns to the courtroom and weaves a riveting tale of legal intrigue and corporate greed. Grisham's sixth spellbinding novel of legal intrigue and corporate greed displays all of the intricate plotting, fast-paced action, humor, and suspense that have made him the most popular author of our time. In his first courtroom thriller since A Time To Kill, John Grisham tells the story of a young man barely out of law school who finds himself taking on one of the most powerful, corrupt, and ruthless companies in America -- and exposing a complex, multibillion-dollar insurance scam. In his final semester of law school Rudy Baylor is required to provide free legal advice to a group of senior citizens, and it is there that he meets his first ""clients,"" Dot and Buddy Black. Their son, Donny Ray, is dying of leukemia, and their insurance company has flatly refused to pay for his medical treatments. While Rudy is at first skeptical, he soon realizes that the Blacks really have been shockingly mistreated by the huge company, and that he just may have stumbled upon one of the largest insurance frauds anyone's ever seen -- and one of the most lucrative and important cases in the history of civil litigation. The problem is, Rudy's flat broke, has no job, hasn't even passed the bar, and is about to go head-to-head with one of the best defense attorneys -- and powerful industries -- in America.",Crime Thrillers and Detective Drama,Crime & Detective Fiction
Into the Wild,Jon Krakauer,"In April 1992, a young man from a well-to-do family hitchhikes to Alaska and walks alone into the wilderness north of Mt. McKinley. Four months later, his decomposed body is found by a moose hunter. How Chris McCandless came to die is the unforgettable story of Into the Wild.",Medical Thrillers,Action & Psychological Thrillers
Oryx and Crake,Margaret Atwood,A novel of the future explores a world that has been devastated by ecological and scientific disasters.,Space Adventure,Science Fiction
The Da Vinci Code,Dan Brown,"Harvard symbologist Robert Langdon and French cryptologist Sophie Neveu work to solve the murder of an elderly curator of the Louvre, a case which leads to clues hidden in the works of Da Vinci and a centuries-old secret society.",Gothic Vampire Fiction,Fantasy Literature
The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,A true story of men against the sea.,Galactic Adventures,Science Fiction
